ID,AGE,Gender,NATIONALITY,RESIDENCE,TYPE_CLIENT,HasCrdCard,IsActiveMember,MARITAL_STATUS,ONLINE_ACTUAL_BAL,Account-AGE,Excited,ACCOUNT_OFFICER,Id
"562F27CECF153072,117,female,FR,FR,PP,0,0,others,""€ 179,00"",43,1,60,02222B9446A82B05A5247E5B47929E9B"
"A2D84E3B87CB2DEF,117,female,TN,TN,PP,0,1,others,""€ 712,03"",24,0,45,0EEA78231B1679F172AF24E827A650F6"
"03C34D901AB19D2A,116,female,TN,TN,PP,0,1,others,""€ 14,55"",43,0,20,FE0464CE9291E20B8A4D90007067E637"
"21DD24283D17987C,116,male,TN,TN,PP,0,0,others,""€ 2947,00"",43,0,60,7FF614DE4F42E4084AD34E970E68F5FE"
"53AF5264F1500C29,116,female,FR,FR,PP,0,1,others,""€ 554,20"",43,0,60,006E0059153C06764A855B849519ABA0"
"597B9C8FC6E16582,116,female,AU,AU,PP,1,1,others,""€ 88,97"",43,0,60,78F0CDC95E39F3D2C8A7A0123154CDF0"
"D6096118D781FADB,116,female,TN,TN,PP,1,0,others,""€ 278,65"",28,1,49,E869B930566BE32F3402ECE0F44EB60A"
"EE2CF57D99E3C1D4,116,male,TN,TN,PP,1,1,others,""€ 77,53"",28,0,44,536344B0C89E2B3907FC23F998D921AE"
"4581CDC0B506BD7D,115,female,TN,TN,PP,0,1,others,""€ 804,54"",34,0,24,BF672EDCCFD2934A2B8331F3E5E6FD55"
"469F93FA82EC40DE,115,female,TN,TN,PP,1,0,others,""€ 2642,85"",43,1,60,400A1911ED82C2B78ED8349961AC1F1D"
"6F04F3D44680FDB6,115,female,FR,FR,PP,0,1,others,""€ 277,01"",43,1,60,6359664E96AB451E9124FEAC0A675F08"
"78A3AC774C441678,115,female,FR,FR,PP,0,1,others,""€ 669,17"",43,1,60,CF32F4EE27BFF5B9AA6210A4491D7327"
"87F0F00690BAC3E9,115,female,TN,TN,PP,0,1,others,""€ 29,99"",39,0,78,6A3C16AF2E6EBF41A615EB989483817F"
"8ACDEE9CB97A5C01,115,female,TN,TN,PP,0,1,others,""€ 14,59"",28,1,20,20C9B6BC9374A74481712681AA2B6D1C"
"375DD78DFC185E70,114,male,TN,TN,PP,0,0,others,""€ 818,60"",25,0,80,96B91F79776152846E92B13BCAC391D0"
"46E87ADECA348007,114,female,TN,TN,PP,1,0,others,""€ 157,99"",39,1,21,4741B226070DF21F5BB1EA060BD79E2B"
"6D9E71A239566B2E,114,female,TN,TN,PP,0,0,others,""€ 16,22"",28,0,72,AC73592203FF244E18687539106CF5BF"
